,selected,adaptive,aic_BM,aic_OU1,aic_OU2,disp_r,alpha_OU1,dtheta_OU2
Tubgcp3,BM,False,2502.385097803087,2502.68610532749,2504.348576513182,1.4216442122343242,0.008026212415338536,0.13986405650453637
Polr3d,OU1,False,1473.8026836732158,1473.7329559556886,1475.3062971087538,0.6154704612997544,0.008026212415338536,0.6351712120242863
Tcf7,OU1,False,1064.1636628804167,1060.2043933583595,1062.1806313774564,0.35156873566130914,0.056753892261295374,0.11820671483813916
Ddx3x,BM,False,2119.711461453713,2121.2910373369423,2122.2765606735447,1.0275483921095196,0.002178649237472767,0.4447519635153814
Usp32,OU1,False,1292.024154624337,1285.0920425508907,1285.1807433410142,0.37419871491524326,0.10893246187363835,0.6844322741698292
Zfp512b,OU1,False,2056.8628460054156,2054.720049883805,2056.0209158831326,1.0105220040742044,0.10893246187363835,0.1318164734959666
Dnajc5,OU1,False,2369.1704098502805,2368.0955075238367,2369.8766533886405,1.439629451532511,0.029568819352885703,0.12031198220195982
Tpd52l2,OU1,False,2517.6657871167167,2514.8732552762535,2515.8451201268626,2.7880394005584397,0.10893246187363835,0.12889026033348738
Pxmp4,OU1,False,1327.7734214404222,1326.999316312988,1328.9484555014133,0.46981258803025117,0.029568819352885703,0.09263082220029162
Gnb1l,OU1,False,1485.203677333743,1483.881080674991,1485.3887825446805,0.5332475474459346,0.056753892261295374,0.19784157356959575
Smarcb1,OU1,False,2428.0449541029666,2425.261913936533,2426.2967570601395,2.5757877925005825,0.056753892261295374,0.10232370553597026
Nsun5,OU2,True,1705.315767683656,1701.4773156024198,1701.4708394597149,0.7885714365006404,0.029568819352885703,0.7033214596925017
Top1mt,OU1,False,1146.0021729815514,1140.1814256840335,1140.7665186893553,0.3843033776799048,0.056753892261295374,0.5752667550847543
Mmp14,OU1,False,2575.6410015083993,2573.7995059734158,2575.268673659547,2.2331161709703644,0.10893246187363835,0.17697980326239282
Oxa1l,OU1,False,1577.5965895772822,1576.4559421971235,1578.2136518704265,0.5793447288203891,0.01540537649643895,0.35595454653484104
Heatr6,OU1,False,1702.4012719793868,1697.2218735262832,1697.8012095169954,0.6846068441162325,0.056753892261295374,0.48150580275239463
Ilf2,OU1,False,2515.7591501799466,2515.247054277609,2516.8768357758036,2.223224436509898,0.008026212415338536,0.19926011083316553
Chtop,OU1,False,2573.1741666668386,2573.034500807463,2573.27948228549,3.0636462031539877,0.01540537649643895,0.45121178989282296
Snapin,BM,False,2406.1313492501754,2407.7832372848143,2407.612565219514,1.5569079681801865,0.002178649237472767,0.5501526692066596
S100a4,OU2,True,2519.1262545810723,2511.8276546170114,2505.6950990704627,4.108191656179332,0.10893246187363835,0.7439604238228421
S100a6,OU2,True,2581.912324437086,2577.036823217249,2576.2376296404555,5.775493408136874,0.029568819352885703,0.4881558494790701
Mapk7,BM,False,1882.4535019615278,1884.0150165885418,1884.9231248660094,0.7703487928228785,0.008026212415338536,0.8583996451340727
Epn2,OU2,True,2066.057254332645,2064.415882935904,2061.3695871215227,0.9092311008688737,0.10893246187363835,0.4524475926796949
B9d1,OU1,False,1343.701178041727,1343.3374577408572,1344.9808183822388,0.45575464684681977,0.01540537649643895,0.316049360417721
Sec24b,OU1,False,2421.0344690257566,2415.305740564877,2416.2055206108053,2.5951504249697943,0.056753892261295374,0.1998900903876919
Rmnd5b,BM,False,2272.7431769220243,2274.7431769220243,2275.2311927856663,1.1455521520556173,0.0,2.3181255853489295
Nhp2,OU1,False,2301.195553271676,2296.4623981467635,2298.334192214023,1.79793920222612,0.056753892261295374,0.08492978037639531
Vps9d1,OU1,False,1396.2004327507007,1395.868992086676,1397.7053488579932,0.4967499449137477,0.029568819352885703,0.1094163710112328
Mfsd10,OU1,False,2176.6109958057377,2173.189207224865,2175.1800227316185,1.2453183574462479,0.10893246187363835,0.014567908705409138
Luzp1,OU1,False,2462.3779046602504,2460.7270668100236,2461.3887266828515,3.25718000516062,0.056753892261295374,0.21930425401205067
Kctd10,OU1,False,2865.658086812849,2860.339737511581,2862.339624661212,3.461094276029538,0.056753892261295374,0.003048831713485356
Poldip2,OU2,True,2299.484434663695,2301.2708272803366,2295.9510044805384,1.54080656535403,0.002178649237472767,1.286445272836346
Ift20,BM,False,2022.448655780918,2022.7196970276148,2024.6816668460458,1.5142586661873751,0.029568819352885703,0.0729851920876241
Col6a1,OU1,False,2868.5122706788075,2864.7333028245775,2866.655592557936,2.1434486527781824,0.029568819352885703,0.09261533045463732
Lgals9,OU1,False,2644.1574724362645,2636.1381306061285,2637.42187758782,3.53678988045014,0.10893246187363835,0.16324359759194618
Araf,OU1,False,2290.458373294367,2287.0194849801187,2288.973207405499,1.4059482749724592,0.10893246187363835,0.008189645387004063
Timp1,BM,False,2460.816108542647,2462.374638380564,2464.3304170997653,1.8480434607769494,0.002178649237472767,0.7984953657214495
Uxt,OU1,False,1399.91206943855,1394.9979107406095,1395.9588346509836,0.6660735243732548,0.10893246187363835,0.4079924481870725
Lman2l,OU2,True,1800.2802163835809,1799.9331347082361,1798.3961886982324,0.7093993796008223,0.01540537649643895,0.7081217658937877
Mcm3ap,OU1,False,1642.80842470036,1640.280380373112,1642.2782355494073,0.5469044260215453,0.10893246187363835,0.015158623462473209
Pcnt,OU1,False,1671.1742862391723,1667.2786207203967,1668.8812759390123,0.6082480961859172,0.056753892261295374,0.19682873287228198
Gmcl1,OU1,False,1852.101413843847,1846.913265544646,1848.0171102705044,0.6968629103706796,0.10893246187363835,0.36814717270361097
Snrnp27,OU1,False,2137.0425127912977,2136.316293722619,2137.475605761773,4.8745438165091,0.008026212415338536,0.2924724350141936
Ocrl,OU1,False,1547.2499288465776,1546.4763500184058,1547.627584802585,0.4409771305852331,0.10893246187363835,0.2787212544360136
Calm1,OU1,False,2937.3945828583214,2933.4082346513087,2934.2647664807355,11.069558902877597,0.10893246187363835,0.16032070599679926
Agpat3,OU2,True,2184.6294384779685,2183.165111447002,2182.6125408527873,1.2621716726551586,0.10893246187363835,0.2505801492920128
Uhrf1,OU2,True,2359.9008124526713,2361.8911089519524,2357.6974109130583,0.9286760368332376,0.002178649237472767,1.1923181482346816
Dpp9,OU2,True,2128.938587142702,2126.4748298802633,2125.855819601683,1.0179706807508957,0.029568819352885703,0.2066539491725159
Gramd1a,OU1,False,2204.563342115649,2200.787078440713,2202.4532759301624,1.3032601064053173,0.056753892261295374,0.3224305436971866
Ckb,OU1,False,2501.7092683578653,2496.3759092973505,2498.3759189808648,1.582404806655083,0.10893246187363835,0.0007236056725110629
Sp1,OU1,False,1928.1353487617127,1925.9603045280046,1927.9406695031175,0.8605864571683672,0.056753892261295374,0.00849252558291358
Myg1,OU1,False,2221.3916731285854,2215.118623609667,2217.0537107613263,1.2663989005042926,0.10893246187363835,0.07958142196762186
Rarg,OU2,True,2403.9967168998255,2399.7781614515316,2399.2061995975505,2.59334187826184,0.029568819352885703,0.329866036906167
Pfdn5,OU1,False,2078.503783707378,2075.529961589797,2077.474724264404,2.197168019997152,0.01540537649643895,0.10790113087482478
Rnd2,OU1,False,829.6035558368613,829.1354446798783,830.3407457149412,0.26074824286861553,0.029568819352885703,0.5823918254538789
Srr,OU1,False,1348.4191152592452,1345.2605682489684,1345.9512147683122,0.45274849040456844,0.056753892261295374,1.016003425939044
Fbxo9,OU1,False,1646.0217575964186,1643.6476946668035,1645.5807545952657,0.6718632069785632,0.056753892261295374,0.08028015049287074
Vps50,BM,False,2293.601557825588,2295.601557825588,2297.4241662007894,1.0217666086857857,0.0,0.9740042586603739
Hars,OU1,False,2591.0009051395446,2589.80321334696,2591.694109144057,2.1036645510315872,0.10893246187363835,0.04088642058769931
Zmat2,OU1,False,2200.200935183549,2195.099006321699,2197.0990598370063,2.7337339172336703,0.10893246187363835,0.0007217854577321603
Ube2c,OU2,True,2240.476298373391,2239.169489808473,2236.0760346230013,0.6881001740824714,0.029568819352885703,0.9981071040318845
Smg5,BM,False,2341.4834968631317,2342.080162763848,2343.814839758543,1.5288807377106586,0.008026212415338536,0.37094804191216113
Cct3,OU1,False,2858.9258711988214,2858.525787264629,2860.3579122523925,4.287865889717095,0.008026212415338536,0.1713205559723514
Glmp,BM,False,2600.6709956924856,2601.6381004717855,2603.6061035367866,2.5999662533824317,0.029568819352885703,0.04434149026398515
Mef2d,OU1,False,2292.7816641630247,2284.006295806109,2284.7482844661936,2.3755846822628692,0.10893246187363835,0.21847268794137342
Snd1,OU1,False,2711.207617199101,2706.4541236380155,2707.8642739370725,4.5324370268164555,0.056753892261295374,0.17511711634911808
Slc19a1,OU1,False,1682.080353445714,1678.2806894748276,1678.3800268227842,0.5698130990017388,0.10893246187363835,0.4310674605830158
Kpnb1,OU1,False,2522.9056746845436,2516.6136442611382,2517.173851469521,3.7688676361621516,0.10893246187363835,0.09404600044479317
Npepps,OU1,False,2045.0544233441651,2042.4640187808943,2044.1578878909836,1.1364255899201008,0.029568819352885703,0.1784111045403325
Mrpl10,BM,False,2490.473586184302,2490.8195166785817,2492.553235476317,2.7690124364243416,0.10893246187363835,0.1001965484491052
Cyp51,OU1,False,2805.167343860695,2799.8381064327154,2800.8579266061847,2.5362797046779217,0.01540537649643895,0.5408057480140043
Tcf25,OU1,False,2581.3747684278524,2578.179749424617,2580.1198745673923,3.966368657922581,0.01540537649643895,0.058914625871416604
Tubb6,OU2,True,3026.0868431082845,3026.1088267041155,3024.3145477575395,1.697570695176508,0.008026212415338536,0.580151662856836
Def8,OU2,True,2136.1846511647736,2134.9755740772384,2134.7303205494427,0.9807826312846376,0.01540537649643895,0.2751524875943012
Itga3,OU1,False,2140.769465116917,2140.267924693443,2142.2584753147125,0.9220906688691041,0.10893246187363835,0.01904303150267861
Foxm1,BM,False,2919.5755577926875,2920.8858960223956,2920.796278821657,1.1592573091730185,0.004181662535221101,0.6190527673090349
Itfg2,OU1,False,2023.6913159227545,2020.9456710303948,2022.916920749379,1.0705880646738497,0.056753892261295374,0.010215756655708397
Tulp3,OU1,False,2284.268904822689,2278.010468438827,2278.736069824535,2.29658052081349,0.10893246187363835,0.17731686398496382
Tubb5,OU2,True,3367.2893983051804,3368.2386479365805,3363.1436360519106,2.9953904364608945,0.008026212415338536,0.5695044078345131
Ell2,OU2,True,1663.4519503190227,1660.2604279885147,1660.089515613269,0.7036034240812602,0.01540537649643895,0.7753242466187018
Nom1,BM,False,1834.7492954034224,1836.7346588583362,1835.2202134006877,0.6327619733469875,0.002178649237472767,2.53012186909669
Ergic1,OU2,True,2659.595542227364,2655.6299402356644,2655.0380458242453,4.984423113397193,0.01540537649643895,0.2924247737528365
Ifrd1,BM,False,2450.8585401072473,2452.8585401072473,2454.8585401072482,1.5286079030121542,0.0,5.9764539875839615
Stk38l,BM,False,2119.31933123463,2120.524406935908,2121.5774076155635,1.133426213372434,0.10893246187363835,0.19258098482224195
Brpf1,OU1,False,1833.416385174624,1830.5280867967015,1832.5228533950485,0.6887034303515978,0.10893246187363835,0.003478182124357687
Akr1b3,OU2,True,2744.228328107107,2744.2591341293455,2741.215841890225,5.983179577933809,0.008026212415338536,0.7335778816845844
Ddt,BM,False,1563.9248239048582,1565.063390419402,1567.0634317642896,0.936120874949191,0.056753892261295374,0.0008514357597686484
Ddx18,OU1,False,2136.4025806573254,2136.272418813221,2138.2186296796717,1.392405760582334,0.029568819352885703,0.060953019279503806
Ubl3,OU1,False,2393.397449714913,2392.3563710329495,2393.86684501597,2.084042479676137,0.008026212415338536,0.7541206474295032
Eef1e1,OU1,False,2304.3793151803575,2299.041701598095,2300.85197323125,1.7321396481268465,0.10893246187363835,0.2063601415068872
Akt1,OU1,False,2167.319843300823,2161.962307353479,2163.916845541263,1.2223206039559544,0.10893246187363835,0.008115484535402118
Tcirg1,BM,False,2476.8845767206208,2478.487415391848,2480.4724138954098,1.75639666870576,0.002178649237472767,0.11787518248948547
Naglu,OU2,True,2390.5422634951547,2389.6432983779378,2386.9203921394646,1.5735597175765674,0.056753892261295374,0.6801200960477765
Coasy,BM,False,2054.2412529440276,2056.188638195732,2057.326601367008,0.9505483574406275,0.029568819352885703,1.5872105326510209
Crnkl1,BM,False,1831.9535516435471,1832.313922984042,1833.4624221062138,0.6652424454592385,0.01540537649643895,0.31845976870700277
Rin2,BM,False,2046.8050671104565,2047.488644586458,2049.180342747687,0.7340962219461211,0.01540537649643895,0.45817683876466564
Chordc1,OU1,False,2313.242158332109,2310.9498682302574,2311.9524326561886,1.6853788799734453,0.10893246187363835,0.19840540572896526
Rtcb,OU1,False,2740.2076614751736,2738.400592643956,2740.379286263934,3.2029020031787403,0.056753892261295374,0.018084195280562376
Pwp1,OU1,False,2259.736078933296,2258.3840579162,2259.2533743064723,1.0276165523750291,0.029568819352885703,0.14100903870507508
Fbxo7,BM,False,2568.531515453921,2570.3942331051194,2572.362398340377,2.066482319185815,0.002178649237472767,0.2665848534743569
Capns1,OU2,True,2366.195759990539,2360.24704769498,2359.6975583501476,2.245971583472752,0.10893246187363835,0.4814133736594455
Clpb,BM,False,2326.208059500201,2326.842572750829,2327.369303119531,1.4580983372658407,0.056753892261295374,0.18974586528283055
Septin7,OU1,False,2680.2318780073438,2673.8226145925923,2675.6896759542706,6.4356599273800015,0.029568819352885703,0.04593458036803444
Zdhhc4,OU1,False,2080.43973522661,2079.718614627387,2081.708201974616,1.1709993893329687,0.01540537649643895,0.022782359141192643
Rac1,OU1,False,2795.9166454061356,2787.316514762349,2789.063312148103,7.200504622764838,0.10893246187363835,0.18434839071843445
Nup214,OU1,False,2302.0262120532225,2298.332856630393,2299.8979155531256,1.4396889693678137,0.10893246187363835,0.1854635492893788
Ltbp1,BM,False,2991.3765570807177,2991.5018488052033,2993.4640880811376,2.020871882140434,0.008026212415338536,0.1704115720510897
Ugp2,OU2,True,2707.33918689426,2706.1195018736703,2702.63200312764,2.088130681460436,0.01540537649643895,0.6811648931632819
Trmt1,OU1,False,2267.6267179641814,2264.007429021305,2265.749370581951,1.282270803444118,0.10893246187363835,0.04979174079372406
Nacc1,OU1,False,2234.9680117321304,2232.149671976626,2233.6800986108074,1.8858598119228571,0.10893246187363835,0.10792893793413505
Nfix,OU1,False,1547.9295925817594,1545.3913094313343,1546.5323647640016,0.9354026668767741,0.10893246187363835,0.2876990035107072
Slc1a5,OU1,False,2229.777133874187,2229.3538139917464,2229.5686948589882,1.222655322341853,0.008026212415338536,0.8974904494128317
Uba1,OU1,False,2676.0638232442484,2672.549928196145,2674.549568123693,4.142300435615277,0.10893246187363835,0.0025064785800275047
Siae,OU1,False,1370.5853563634905,1357.3002101551392,1358.9376261315658,0.4588001982431931,0.10893246187363835,0.6860179163442859
Fam50a,BM,False,1768.183853746085,1769.4914278210558,1770.3038369463811,0.7888640519574749,0.004181662535221101,0.7176084035756807
Emd,OU1,False,1691.791122033069,1691.3176416913457,1691.6552369421252,0.9617247123743687,0.01540537649643895,0.36689147580756165
Gria3,OU2,True,2236.628592370908,2235.862979174951,2235.621605735491,0.8816871724697435,0.056753892261295374,0.29707692651157025
Sipa1l2,OU1,False,1093.9551073002328,1092.5800593255767,1093.6853124105294,0.31016504189132044,0.10893246187363835,0.2991651590041515
Ap4e1,BM,False,1420.5119747771328,1420.8494551166748,1422.0904420631362,0.42144556448015624,0.01540537649643895,0.4228264067110228
Blvra,BM,False,2275.4570360835796,2276.8783854884764,2275.68256034594,1.8926111078057528,0.10893246187363835,2.413980976426064
Idh3g,OU1,False,2492.434763042447,2491.326241580825,2493.1633583810035,2.205406709302401,0.01540537649643895,0.07548560179171648
Ssr4,OU1,False,2430.7159781514642,2430.21454553898,2431.839538917001,3.2715893663426847,0.01540537649643895,0.15076529924838766
Bcap31,OU1,False,2801.334728558479,2789.3755312911558,2790.662190042792,8.705040568317692,0.10893246187363835,0.08232448633987133
Fam98a,BM,False,1999.9347622196965,1999.9424744209157,2000.6702540449583,1.020554757842848,0.008026212415338536,0.37886761612596676
Kmt2a,OU1,False,2215.3270795579087,2212.7047921964263,2214.6994249253726,1.0884990854501757,0.056753892261295374,0.018070494288346062
Ift46,OU1,False,2078.1182726388793,2077.987101620653,2079.664854332974,1.1601294744386805,0.01540537649643895,0.07540578279453669
Trappc6a,OU1,False,1860.444216434601,1857.811102535873,1859.7323480959053,1.4809426563214036,0.10893246187363835,0.03518093114535592
Supt6,OU2,True,2115.5215235307323,2114.8333994390146,2112.9268610981267,1.2355151573452046,0.10893246187363835,0.3406004374222631
Sdf2,OU1,False,2405.723583762196,2403.6193014733085,2405.333521705624,2.0117100864748005,0.056753892261295374,0.08327302316913787
Ccne1,BM,False,1746.7755475388587,1747.8165405833863,1749.811298721714,0.45634161631202635,0.01540537649643895,0.02825953022771177
Psmc3,OU1,False,2620.076558433742,2614.4463070065194,2616.2888175738053,5.964143365135804,0.10893246187363835,0.03919002917318615
Acp2,OU1,False,1986.3597865444221,1984.698821951247,1986.5315858104836,0.7487262906996344,0.056753892261295374,0.06494572317571912
Slc39a13,OU2,True,2446.3653383824017,2445.838319915054,2442.4937898216813,2.2427306219996446,0.029568819352885703,0.3869781265514174
Celf2,OU1,False,2629.3468718927006,2627.9700934635853,2629.9694902117144,2.7969291601726156,0.10893246187363835,0.0038878998411036036
Sf3a1,OU1,False,2418.1874578901825,2408.8715745263157,2410.808352631611,2.1461549220822866,0.10893246187363835,0.009600794592403261
Stat6,OU1,False,2628.3327139828934,2624.1723174973986,2624.7060085583907,2.1119169526925017,0.10893246187363835,0.19002293404704673
Vrk3,OU1,False,1799.9406516057766,1781.3943871912713,1782.95669831246,0.8055520843172379,0.10893246187363835,0.3944579193540205
Smg9,BM,False,1540.3807977621218,1541.3404235846297,1542.2905143753505,0.5613375277378796,0.10893246187363835,0.5381365219754732
Paxip1,BM,False,1837.263056511333,1839.075456357104,1838.7103938253251,0.7424605591507958,0.10893246187363835,0.3840567264399395
Mov10,BM,False,2136.2084653054853,2137.5211190123327,2136.4929978342034,1.009009744276563,0.01540537649643895,0.37320478693217574
Rhoc,OU1,False,2419.783032995814,2419.049992969408,2419.8261712929025,6.3786973137391145,0.008026212415338536,1.2077609765427155
Ppard,BM,False,1535.7003534504424,1537.5823528740223,1536.308018899425,0.5430016030338982,0.002178649237472767,0.8416174100951626
Metrn,BM,False,1906.7787359552449,1907.6936671630826,1908.8845776625265,0.9698272744963651,0.01540537649643895,0.21730652684844198
Lmf1,OU2,True,1602.9633793454582,1598.1163896015069,1597.3483058488928,0.6957835109081212,0.10893246187363835,0.6493722081866604
Ciao3,BM,False,1764.2886530782057,1764.5068061461518,1766.3053585370849,0.6563388750354487,0.01540537649643895,0.18066198084991125
Dbf4,OU1,False,1911.2173210493092,1908.946825246551,1910.389314811871,0.6495203486618022,0.10893246187363835,0.23524059646449302
Daxx,BM,False,1761.848432694685,1763.5700276307412,1765.2323573353624,0.6355446584174409,0.01540537649643895,0.29489134062449907
Ipo4,OU1,False,2009.7234664275366,2009.543391197511,2011.2363823676985,0.7989678911694389,0.10893246187363835,0.0862559865895518
Tm9sf1,OU1,False,2465.5205776720936,2463.834369959214,2465.600035394266,1.4083648614818538,0.10893246187363835,0.048016948206520915
Irf9,OU1,False,2179.579283535501,2170.5680301799553,2172.2431656395374,1.0558898556299514,0.10893246187363835,0.2702057150086121
Gmpr2,BM,False,2227.1016073437227,2228.110917015497,2229.5604950300067,1.3074878482370342,0.008026212415338536,0.22762345101568293
Mdp1,OU1,False,1786.3784253410308,1778.1896624151755,1779.8329453917495,0.6893710497660038,0.056753892261295374,0.24194086889573985
Dhrs1,OU1,False,2340.6772013443137,2340.6010468417135,2341.95726492651,1.3804907677560565,0.10893246187363835,0.13481818651568478
Tmem161a,OU1,False,2369.3764496268686,2364.248120186729,2365.088971912526,2.1649441421009255,0.029568819352885703,0.1428413211048838
Armc6,OU1,False,1829.5365444440247,1826.1786644081142,1828.1688015511031,0.8267841885517478,0.10893246187363835,0.016150302361886304
Borcs8,OU1,False,1995.5904147390543,1992.0727472771446,1993.3825467544239,1.3907528646365428,0.029568819352885703,0.26197650140887596
Snx9,OU2,True,2113.7225276539803,2115.631993413808,2112.6484947738236,1.1301292054676215,0.004181662535221101,6.639437255652283
Ranbp3,OU1,False,2384.883239202843,2379.8369672515955,2381.1719301934154,1.5857782827151548,0.10893246187363835,0.0632700595277127
Ndufa11,OU1,False,2098.903495217954,2093.729181480754,2095.7158430115414,3.0135184424954935,0.056753892261295374,0.026532915534103196
Use1,OU1,False,2189.5015317532716,2189.3304575860484,2191.3307172992677,2.0779993766719915,0.029568819352885703,0.0014992313204853502
Ocel1,OU1,False,1193.4804539401239,1189.1346618073,1191.066143876514,0.3635137768451238,0.056753892261295374,0.10568120772554535
Braf,OU1,False,2176.681831394569,2170.450862041779,2172.4006855415823,0.9707168500466151,0.056753892261295374,0.07037287867939579
